,code,exchange
709,002200,深交所
710,002201,深交所
711,002202,深交所
712,002203,深交所
713,002204,深交所
714,002205,深交所
715,002206,深交所
716,002207,深交所
717,002208,深交所
718,002209,深交所
719,002210,深交所
720,002211,深交所
721,002212,深交所
722,002213,深交所
723,002214,深交所
724,002215,深交所
725,002216,深交所
726,002217,深交所
727,002218,深交所
728,002219,深交所
729,002221,深交所
730,002222,深交所
731,002223,深交所
732,002224,深交所
733,002225,深交所
734,002226,深交所
735,002227,深交所
736,002228,深交所
737,002229,深交所
738,002230,深交所
739,002231,深交所
740,002232,深交所
741,002233,深交所
742,002234,深交所
743,002235,深交所
744,002236,深交所
745,002237,深交所
746,002238,深交所
747,002239,深交所
748,002240,深交所
749,002241,深交所
750,002242,深交所
751,002243,深交所
752,002244,深交所
753,002245,深交所
754,002246,深交所
755,002247,深交所
756,002248,深交所
757,002249,深交所
758,002250,深交所
759,002251,深交所
760,002252,深交所
761,002253,深交所
762,002254,深交所
763,002255,深交所
764,002256,深交所
765,002258,深交所
766,002259,深交所
767,002261,深交所
768,002262,深交所
769,002263,深交所
770,002264,深交所
771,002265,深交所
772,002266,深交所
773,002267,深交所
774,002268,深交所
775,002269,深交所
776,002270,深交所
777,002271,深交所
778,002272,深交所
779,002273,深交所
780,002274,深交所
781,002275,深交所
782,002276,深交所
783,002277,深交所
784,002278,深交所
785,002279,深交所
786,002281,深交所
787,002282,深交所
788,002283,深交所
789,002284,深交所
790,002285,深交所
791,002286,深交所
792,002287,深交所
793,002289,深交所
794,002290,深交所
795,002291,深交所
796,002292,深交所
797,002293,深交所
798,002294,深交所
799,002295,深交所
800,002296,深交所
801,002297,深交所
802,002298,深交所
803,002299,深交所
804,002300,深交所
805,002301,深交所
806,002302,深交所
807,002303,深交所
808,002304,深交所
809,002305,深交所
810,002306,深交所
811,002307,深交所
812,002309,深交所
813,002310,深交所
814,002311,深交所
815,002312,深交所
816,002313,深交所
817,002314,深交所
818,002315,深交所
819,002316,深交所
820,002317,深交所
821,002318,深交所
822,002319,深交所
823,002320,深交所
824,002321,深交所
825,002322,深交所
826,002323,深交所
827,002324,深交所
828,002326,深交所
829,002327,深交所
830,002328,深交所
831,002329,深交所
832,002330,深交所
833,002331,深交所
834,002332,深交所
835,002333,深交所
836,002334,深交所
837,002335,深交所
838,002337,深交所
839,002338,深交所
840,002339,深交所
841,002340,深交所
842,002342,深交所
843,002343,深交所
844,002344,深交所
845,002345,深交所
846,002346,深交所
847,002347,深交所
848,002348,深交所
849,002349,深交所
850,002350,深交所
851,002351,深交所
852,002352,深交所
853,002353,深交所
854,002354,深交所
855,002355,深交所
856,002356,深交所
857,002357,深交所
858,002358,深交所
859,002360,深交所
860,002361,深交所
861,002362,深交所
862,002363,深交所
863,002364,深交所
864,002365,深交所
865,002366,深交所
866,002367,深交所
867,002368,深交所
868,002369,深交所
869,002370,深交所
870,002371,深交所
871,002372,深交所
872,002373,深交所
873,002374,深交所
874,002375,深交所
875,002376,深交所
876,002377,深交所
877,002378,深交所
878,002379,深交所
879,002380,深交所
880,002381,深交所
881,002382,深交所
882,002383,深交所
883,002384,深交所
884,002385,深交所
885,002386,深交所
886,002387,深交所
887,002388,深交所
888,002389,深交所
889,002390,深交所
890,002391,深交所
891,002392,深交所
892,002393,深交所
893,002394,深交所
894,002395,深交所
895,002396,深交所
896,002397,深交所
897,002398,深交所
898,002399,深交所
899,002400,深交所
900,002401,深交所
901,002402,深交所
902,002403,深交所
903,002404,深交所
904,002405,深交所
905,002406,深交所
906,002407,深交所
907,002408,深交所
908,002409,深交所
909,002410,深交所
910,002412,深交所
911,002413,深交所
912,002414,深交所
913,002415,深交所
914,002416,深交所
915,002418,深交所
916,002419,深交所
917,002420,深交所
918,002421,深交所
919,002422,深交所
920,002423,深交所
921,002424,深交所
922,002425,深交所
923,002426,深交所
924,002427,深交所
925,002428,深交所
926,002429,深交所
927,002430,深交所
928,002431,深交所
929,002432,深交所
930,002434,深交所
931,002436,深交所
932,002437,深交所
933,002438,深交所
934,002439,深交所
935,002440,深交所
936,002441,深交所
937,002442,深交所
938,002443,深交所
939,002444,深交所
940,002445,深交所
941,002446,深交所
942,002448,深交所
943,002449,深交所
944,002451,深交所
945,002452,深交所
946,002453,深交所
947,002454,深交所
948,002455,深交所
949,002456,深交所
950,002457,深交所
951,002458,深交所
952,002459,深交所
953,002460,深交所
954,002461,深交所
955,002462,深交所
956,002463,深交所
957,002465,深交所
958,002466,深交所
959,002467,深交所
960,002468,深交所
961,002469,深交所
962,002470,深交所
963,002471,深交所
964,002472,深交所
965,002474,深交所
966,002475,深交所
967,002476,深交所
968,002478,深交所
969,002479,深交所
970,002480,深交所
971,002481,深交所
972,002482,深交所
973,002483,深交所
974,002484,深交所
975,002485,深交所
976,002486,深交所
977,002487,深交所
978,002488,深交所
979,002489,深交所
980,002490,深交所
981,002491,深交所
982,002492,深交所
983,002493,深交所
984,002494,深交所
985,002495,深交所
986,002496,深交所
987,002497,深交所
988,002498,深交所
989,002500,深交所
990,002501,深交所
991,002506,深交所
992,002507,深交所
993,002508,深交所
994,002510,深交所
995,002511,深交所
996,002512,深交所
997,002513,深交所
998,002514,深交所
999,002515,深交所
1000,002516,深交所
1001,002517,深交所
1002,002518,深交所
1003,002519,深交所
1004,002520,深交所
1005,002521,深交所
1006,002522,深交所
1007,002523,深交所
1008,002524,深交所
1009,002526,深交所
1010,002527,深交所
1011,002528,深交所
1012,002529,深交所
1013,002530,深交所
1014,002531,深交所
1015,002532,深交所
1016,002533,深交所
1017,002534,深交所
1018,002535,深交所
1019,002536,深交所
1020,002537,深交所
1021,002538,深交所
1022,002539,深交所
1023,002540,深交所
1024,002541,深交所
1025,002542,深交所
1026,002543,深交所
1027,002544,深交所
1028,002545,深交所
1029,002546,深交所
1030,002547,深交所
1031,002548,深交所
1032,002549,深交所
1033,002550,深交所
1034,002551,深交所
1035,002552,深交所
1036,002553,深交所
1037,002554,深交所
1038,002555,深交所
1039,002556,深交所
1040,002557,深交所
1041,002558,深交所
1042,002559,深交所
1043,002560,深交所
1044,002561,深交所
1045,002562,深交所
1046,002563,深交所
1047,002564,深交所
1048,002565,深交所
1049,002566,深交所
1050,002567,深交所
1051,002568,深交所
1052,002569,深交所
1053,002570,深交所
1054,002571,深交所
1055,002572,深交所
1056,002573,深交所
1057,002574,深交所
1058,002575,深交所
1059,002576,深交所
1060,002577,深交所
1061,002578,深交所
1062,002579,深交所
1063,002580,深交所
1064,002581,深交所
1065,002582,深交所
1066,002583,深交所
1067,002584,深交所
1068,002585,深交所
1069,002586,深交所
1070,002587,深交所
1071,002588,深交所
1072,002589,深交所
1073,002590,深交所
1074,002591,深交所
1075,002592,深交所
1076,002593,深交所
1077,002594,深交所
1078,002595,深交所
1079,002596,深交所
1080,002597,深交所
1081,002598,深交所
1082,002599,深交所
1083,002600,深交所
1084,002601,深交所
1085,002602,深交所
1086,002603,深交所
1087,002605,深交所
1088,002606,深交所
1089,002607,深交所
1090,002608,深交所
1091,002609,深交所
1092,002611,深交所
1093,002612,深交所
1094,002613,深交所
1095,002614,深交所
1096,002615,深交所
1097,002616,深交所
1098,002617,深交所
1099,002620,深交所
1100,002622,深交所
1101,002623,深交所
1102,002624,深交所
1103,002625,深交所
1104,002626,深交所
1105,002627,深交所
1106,002628,深交所
1107,002629,深交所
1108,002630,深交所
1109,002631,深交所
1110,002632,深交所
1111,002633,深交所
1112,002634,深交所
1113,002635,深交所
1114,002636,深交所
1115,002637,深交所
1116,002638,深交所
1117,002639,深交所
1118,002640,深交所
1119,002641,深交所
1120,002642,深交所
1121,002643,深交所
1122,002644,深交所
1123,002645,深交所
1124,002646,深交所
1125,002647,深交所
1126,002648,深交所
1127,002649,深交所
1128,002650,深交所
1129,002651,深交所
1130,002652,深交所
1131,002653,深交所
1132,002654,深交所
1133,002655,深交所
1134,002656,深交所
1135,002657,深交所
1136,002658,深交所
1137,002659,深交所
1138,002660,深交所
1139,002661,深交所
1140,002662,深交所
1141,002663,深交所
1142,002664,深交所
1143,002666,深交所
1144,002667,深交所
1145,002668,深交所
1146,002669,深交所
1147,002670,深交所
1148,002671,深交所
1149,002672,深交所
1150,002673,深交所
1151,002674,深交所
1152,002675,深交所
1153,002676,深交所
1154,002677,深交所
1155,002678,深交所
1156,002679,深交所
1157,002681,深交所
1158,002682,深交所
1159,002683,深交所
1160,002685,深交所
1161,002686,深交所
1162,002687,深交所
1163,002688,深交所
1164,002689,深交所
1165,002690,深交所
1166,002691,深交所
1167,002692,深交所
1168,002693,深交所
1169,002694,深交所
1170,002695,深交所
1171,002696,深交所
1172,002697,深交所
1173,002698,深交所
1174,002700,深交所
1175,002701,深交所
1176,002702,深交所
1177,002703,深交所
1178,002705,深交所
1179,002706,深交所
1180,002707,深交所
1181,002708,深交所
1182,002709,深交所
1183,002712,深交所
1184,002713,深交所
1185,002714,深交所
1186,002715,深交所
1187,002716,深交所
1188,002717,深交所
1189,002718,深交所
1190,002719,深交所
1191,002721,深交所
1192,002722,深交所
1193,002723,深交所
1194,002724,深交所
1195,002725,深交所
1196,002726,深交所
1197,002727,深交所
1198,002728,深交所
1199,002729,深交所
1200,002730,深交所
1201,002731,深交所
1202,002732,深交所
1203,002733,深交所
1204,002734,深交所
1205,002735,深交所
1206,002736,深交所
1207,002737,深交所
1208,002738,深交所
1209,002739,深交所
1210,002741,深交所
1211,002742,深交所
1212,002743,深交所
1213,002745,深交所
1214,002746,深交所
1215,002747,深交所
1216,002748,深交所
1217,002749,深交所
1218,002752,深交所
1219,002753,深交所
1220,002755,深交所
1221,002756,深交所
1222,002757,深交所
1223,002758,深交所
1224,002759,深交所
1225,002760,深交所
1226,002761,深交所
1227,002762,深交所
1228,002763,深交所
1229,002765,深交所
1230,002766,深交所
1231,002767,深交所
1232,002768,深交所
1233,002769,深交所
1234,002771,深交所
1235,002772,深交所
1236,002773,深交所
1237,002774,深交所
1238,002775,深交所
1239,002777,深交所
1240,002778,深交所
1241,002779,深交所
1242,002780,深交所
1243,002782,深交所
1244,002783,深交所
1245,002785,深交所
1246,002786,深交所
1247,002787,深交所
1248,002788,深交所
1249,002789,深交所
1250,002790,深交所
1251,002791,深交所
1252,002792,深交所
1253,002793,深交所
1254,002795,深交所
1255,002796,深交所
1256,002797,深交所
1257,002798,深交所
1258,002799,深交所
1259,002800,深交所
1260,002801,深交所
1261,002802,深交所
1262,002803,深交所
1263,002805,深交所
1264,002806,深交所
1265,002807,深交所
1266,002808,深交所
1267,002809,深交所
1268,002810,深交所
1269,002811,深交所
1270,002812,深交所
1271,002813,深交所
1272,002815,深交所
1273,002816,深交所
1274,002817,深交所
1275,002818,深交所
1276,002819,深交所
1277,002820,深交所
1278,002821,深交所
1279,002822,深交所
1280,002823,深交所
1281,002824,深交所
1282,002825,深交所
1283,002826,深交所
1284,002827,深交所
1285,002828,深交所
1286,002829,深交所
1287,002830,深交所
1288,002831,深交所
1289,002832,深交所
1290,002833,深交所
1291,002835,深交所
1292,002836,深交所
1293,002837,深交所
1294,002838,深交所
1295,002839,深交所
1296,002840,深交所
1297,002841,深交所
1298,002842,深交所
1299,002843,深交所
1300,002845,深交所
1301,002846,深交所
1302,002847,深交所
1303,002848,深交所
1304,002849,深交所
1305,002850,深交所
1306,002851,深交所
1307,002852,深交所
1308,002853,深交所
1309,002855,深交所
1310,002856,深交所
1311,002857,深交所
1312,002858,深交所
1313,002859,深交所
1314,002860,深交所
1315,002861,深交所
1316,002862,深交所
1317,002863,深交所
1318,002864,深交所
1319,002865,深交所
1320,002866,深交所
1321,002867,深交所
1322,002868,深交所
1323,002869,深交所
1324,002870,深交所
1325,002871,深交所
1326,002872,深交所
1327,002873,深交所
1328,002875,深交所
1329,002876,深交所
1330,002877,深交所
1331,002878,深交所
1332,002879,深交所
1333,002880,深交所
1334,002881,深交所
1335,002882,深交所
1336,002883,深交所
1337,002884,深交所
1338,002885,深交所
1339,002886,深交所
1340,002887,深交所
1341,002888,深交所
1342,002889,深交所
1343,002890,深交所
1344,002891,深交所
1345,002892,深交所
1346,002893,深交所
1347,002895,深交所
1348,002896,深交所
1349,002897,深交所
1350,002898,深交所
1351,002899,深交所
1352,002900,深交所
1353,002901,深交所
1354,002902,深交所
1355,002903,深交所
1356,002905,深交所
1357,002906,深交所
1358,002907,深交所
1359,002908,深交所
1360,002909,深交所
1361,002910,深交所
1362,002911,深交所
1363,002912,深交所
1364,002913,深交所
1365,002915,深交所
1366,002916,深交所
1367,002917,深交所
1368,002918,深交所
1369,002919,深交所
1370,002920,深交所
1371,002921,深交所
1372,002922,深交所
1373,002923,深交所
1374,002925,深交所
1375,002926,深交所
1376,002927,深交所
1377,002928,深交所
1378,002929,深交所
1379,002930,深交所
1380,002931,深交所
1381,002932,深交所
1382,002933,深交所
1383,002935,深交所
1384,002936,深交所
1385,002937,深交所
1386,002938,深交所
1387,002939,深交所
1388,002940,深交所
1389,002941,深交所
1390,002942,深交所
1391,002943,深交所
1392,002945,深交所
1393,002946,深交所
1394,002947,深交所
1395,002948,深交所
1396,002949,深交所
1397,002950,深交所
1398,002951,深交所
1399,002952,深交所
1400,002953,深交所
1401,002955,深交所
1402,002956,深交所
1403,002957,深交所
1404,002958,深交所
1405,002959,深交所
1406,002960,深交所
1407,002961,深交所
1408,002962,深交所
1409,002963,深交所
1410,002965,深交所
1411,002966,深交所
1412,002967,深交所
1413,002968,深交所
1414,002969,深交所
1415,002970,深交所
1416,002971,深交所
1417,002972,深交所
1418,002973,深交所
1419,002975,深交所
1420,002976,深交所
1421,002977,深交所
1422,002978,深交所
1423,002979,深交所
1424,002980,深交所
1425,002981,深交所
1426,002982,深交所
1427,002983,深交所
1428,002984,深交所
1429,002985,深交所
1430,002986,深交所
1431,002987,深交所
1432,002988,深交所
1433,002989,深交所
1434,002990,深交所
1435,002991,深交所
1436,002992,深交所
1437,002993,深交所
1438,002995,深交所
1439,002996,深交所
1440,002997,深交所
1441,002998,深交所
1442,002999,深交所
1443,003000,深交所
1444,003001,深交所
1445,003002,深交所
1446,003003,深交所
1447,003004,深交所
1448,003005,深交所
1449,003006,深交所
1450,003007,深交所
1451,003008,深交所
1452,003009,深交所
1453,003010,深交所
1454,003011,深交所
1455,003012,深交所
1456,003013,深交所
1457,003015,深交所
1458,003016,深交所
1459,003017,深交所
1460,003018,深交所
1461,003019,深交所
1462,003020,深交所
1463,003021,深交所
1464,003022,深交所
1465,003023,深交所
1466,003025,深交所
1467,003026,深交所
1468,003027,深交所
1469,003028,深交所
1470,003029,深交所
1471,003030,深交所
1472,003031,深交所
1473,003032,深交所
1474,003033,深交所
1475,003035,深交所
1476,003036,深交所
1477,003037,深交所
1478,003038,深交所
1479,003039,深交所
1480,003040,深交所
1481,003041,深交所
1482,003042,深交所
1483,003043,深交所
1484,003816,深交所
1485,300001,创业板
1486,300002,创业板
1487,300003,创业板
1488,300004,创业板
1489,300005,创业板
1490,300006,创业板
1491,300007,创业板
1492,300008,创业板
1493,300009,创业板
1494,300010,创业板
1495,300011,创业板
1496,300012,创业板
